Spindle_Speed_rpm,Feed_mm_per_rev,Depth_of_Cut_mm,Machining_Length_mm,Machining_Time_sec,Operation,Material,Tool_Type
1416.0,0.259,2.029,281.0,47.11,Milling,Bracs,Carmide
1918.0,0.216,1.868,217.0,37.217,Turning,Cast Iron,Carbide
840.0,0.193,2.605,92.0,48.663,Milling,Mild Steel,HSS
1209.0,0.411,0.139,187.0,19.545,Milling,Brass,Coated Carbide
2837.0,,1.281,129.0,9.436,,Mild Steel,Carbide
1631.0,0.134,1.493,37.0,4.881,Turning,Brass,HSS
1635.0,0.122,2.273,308.0,95.783,Turning,Mild Steel,HSS
1616.0,0.505,0.506,224.0,27.192,Turning,Cast Iron,HSS
1449.0,0.242,1.121,46.0,-1.697,Turning,Brass,Carbide
3039.0,0.486,2.074,272.0,7.062,Turning,Brass,
1721.0,0.162,1.618,51.0,7.124,Milling,Mild Steel,HSS
1361.0,0.198,1.317,31.0,19.424,Turning,Mild Steel,HSS
1686.0,0.475,1.986,77.0,4.9,Milling,Brass,Carbide
2064.0,0.286,2.093,88.0,8.826,Turning,Mild Steel,Carbide
3010.0,0.201,1.297,244.0,19.158,Turning,Brass,Coated Carbide
680.0,0.125,0.981,299.0,163.733,Turning,Brass,Coated Carbide
618.0,0.377,2.898,169.0,58.026,Milling,Cast Iron,HSS
2884.0,0.153,2.204,91.0,11.267,Turning,Cast Iron,HSh
1711.0,0.319,0.544,271.0,41.646,Milling,Cast Iron,Carbide
2020.0,0.293,1.965,118.0,20.717,Milling,Brass,HSS
1004.0,0.332,1.468,90.0,20.96,Turning,Cast Iron,Coated Carbide
1872.0,,1.72,25.0,9.402,Turning,Cast Iron,HSS
1080.0,0.411,3.085,177.0,23.172,Turning,Brass,Carbide
2540.0,0.073,1.271,48.0,10.786,Turnina,Brass,Carbide
2930.0,0.442,1.742,242.0,6.869,Turning,Brass,Coated Carbide
1426.0,0.363,2.379,273.0,22.404,Turning,Mild Steel,Coated Casbide
1236.0,0.363,1.101,113.0,10.179,Turning,Mild Steel,Coated Carbide
1316.0,0.491,1.851,73.0,11.836,Milling,Cast Iron,Carbide
2338.0,0.474,1.91,244.0,11.06,Millina,Cast Iron,HSS
2018.0,0.252,1.553,58.0,8.694,Turnihg,Cast Iron,Coaqed Carbide
634.0,0.108,3.112,205.0,326.881,Milling,,HSS
1294.0,0.172,2.245,180.0,56.37,Turning,Mild Steel,ySS
16236.515927505916,0.165,1.218,143.0,20.618,Turning,Cast Iron,Coated Carbide
670.0,0.192,1.132,,142.227,Turning,Mild Steel,HSS
952.0,0.193,0.939,217.0,86.608,Milling,Brass,HSS
2358.0,0.216,1.374,85.0,20.012,Milling,Cast Iron,Carbide
1711.0,0.257,2.652,144.0,27.204,Milling,Brass,Carnide
1392.0,0.276,2.929,197.0,39.475,Turning,Cast Iron,HSS
2483.0,0.421,1.798,93.0,2.584,Turning,Cast Iron,Carbide
650.0,0.322,0.722,266.0,81.487,Turning,Cast Iron,Carbide
2059.0,0.459,2.855,272.0,25.206,Milling,Brass,HSS
833.0,0.156,2.537,162.0,98.64,Milling,Mild Steel,Carbide
607.0,0.249,1.506,157.0,54.87,Txrning,Cast Iron,Coated Carbide
1465.0,0.393,2.182,299.0,13.944,Turning,Brass,Coated Carbide
1530.0,0.44,0.463,236.0,13.317,Turning,Mild Steel,Coated Carbide
2975.0,0.133,2.362,59.0,9.377,Turning,Brass,HSS
1202.0,0.103,0.88,132.0,89.703,Milling,Cast Iron,HSS
2808.0,0.147,1.365,245.0,34.475,Milling,Mild Steel,Carbide
1510.0,0.303,1.185,159.0,24.539,Milling,Mild Steel,Carbide
457.0,0.342,3.086,61.0,29.348,Milling,Cast Iron,Carbide
1345.0,0.095,,282.0,192.153,Milling,Cast Iron,Carbide
1160.0,0.222,0.977,159.0,43.201,Milling,Mild Steel,Ceramic
550.0,0.443,0.09,69.0,14.392,Milling,Brass,Carbide
1658.0,0.207,0.325,156.0,31.161,Turning,Cast Iron,Coated Carbide
2376.0,0.396,1.042,162.0,13.925,Turning,Mild Steel,HSS
814.0,0.163,1.301,44.0,26.136,Turning,Cast Iyon,Coated Carbide
2074.0,0.193,0.404,295.0,69.251,Milling,Cast Iron,HSS
1987.0,0.089,1.589,143.0,55.136,,Cast Iron,Coated Carbide
2690.0,0.348,0.578,187.0,16.389,Turniwg,Brass,Coated Carbide
778.0,0.346,1.73,28.0,4.726,Turning,Cast Iron,Coated Carbide
1998.0,0.141,2.942,,34.93,Turning,Cast Iron,Carbide
1300.0,0.271,0.677,202.0,49.889,Turning,Cast Iron,Carbide
2406.0,0.455,0.488,50.0,7.545,Milling,Mild Steel,Carbide
610.0,0.226,1.873,41.0,21.692,Milling,Cast Iron,HSS
879.0,0.462,2.481,223.0,43.198,Milling,Brass,HSS
1456.0,0.351,0.894,142.0,12.277,Turning,Mild Steel,Coated Carbide
2599.0,,0.929,80.0,14.885,Milling,Cast Iron,HSS
1902.0,0.138,1.095,42.0,10.984,Milling,Mild Steel,Carbide
2400.0,0.102,2.706,91.0,22.048,Turning,Cast Iron,HSS
2838.0,0.31,2.219,190.0,16.133,Turning,Mild Steel,HSS
2150.0,0.363,2.622,95.0,2.249,Turning,Cast Iron,
2060.0,0.472,2.306,122.0,12.041,Milling,Cast Iron,Coeted Carbide
1673.0,0.147,1.038,137.0,43.931,Milling,Mild Steel,Carbide
1867.0,0.339,2.227,19.0,-1.12,Milling,Brass,HSS
560.0,0.218,0.405,145.0,45.93,Turning,Brass,Coated Carbide
568.0,0.48,0.077,70.0,20.643,Milling,Cast Iron,HSS
1822.0,0.081,0.727,163.0,65.818,Milling,Brass,Coated Carbide
2559.0,0.413,2.41,52.0,4.823,Turning,Cast Iron,HSS
2430.0,0.467,1.821,219.0,12.331,Turning,Brass,Coated Carbide
664.0,0.314,2.149,250.0,65.502,Turning,Mild Steel,boated Carbide
2475.0,0.465,1.237,70.0,7.69,Turning,Cast Iron,Coated Carbide
18401.46838173071,0.143,1.794,71.0,4.241,Turning,Cast Iron,
1143.0,0.466,0.763,109.0,6.635,Turning,Brlss,Carbide
504.0,0.249,1.957,231.0,,Turning,Mild Steel,Coated Carbrde
847.0,0.357,0.352,150.0,49.351,Milling,Cast Iron,Carbide
2287.0,0.149,2.268,,42.206,Milling,Cast Iron,Coated Carbide
2419.0,0.448,1.74,255.0,16.574,Milling,Cast Iron,Carbide
1471.0,0.318,2.623,244.0,38.592,Milling,Mild Steel,Carbide
2253.0,0.313,2.661,201.0,25.762,Milling,Mild Steel,Coated Carbide
2495.0,0.087,0.827,35.0,5.786,Milling,Brass,Carbide
1829.0,0.36,2.539,64.0,-4.096,Turning,Brass,Coated Carbide
2877.0,0.302,1.041,127.0,10.3,Turning,Cast Iron,Coated Carbide
2453.0,0.426,2.889,147.0,0.697,Turning,Cast Iron,
2851.0,0.305,0.532,296.0,23.192,Milling,Mild Steel,Carbide
2561.0,0.259,0.871,27.0,-5.171,Milling,Brass,Carbide
805.0,0.267,0.645,51.0,7.606,Turning,Brass,Carbide
2780.0,0.187,1.531,218.0,29.944,Milling,Brass,Carbide
1460.0,0.393,1.88,0.0,2.2166780563767916,Milring,Cast Iron,HSS
1477.0,0.312,0.732,277.0,34.551,Turning,Brass,Carbide
2915.0,0.338,1.495,106.0,7.113,Milling,Cast Iron,HSS
2006.0,0.332,0.807,187.0,15.115,Turning,Mild Steel,HSS
2797.0,0.489,1.443,15.0,1.776,Turning,Brass,HSS
1202.0,0.323,2.561,169.0,20.822,Turnind,Mild Steel,Carbide
,0.13,1.119,86.0,22.489,Turning,Mild Steel,Carbide
2504.0,0.099,1.503,46.0,,Milling,Mild Steel,
1644.0,0.278,2.324,169.0,8.501,Turning,Brass,HSS
2126.0,0.253,,101.0,18.852,Turning,Brass,Coated Carbide
2641.0,0.38,0.944,297.0,,Turning,Brass,Coated Carbide
